frame_name	left	top	right	bottom
jump_throw_0	35	1607	132	1697

jump_throw_1	147	1610	231	1695

jump_throw_2	252	1612	329	1699

jump_throw_3	354	1612	456	1699

jump_throw_4	484	1618	564	1703


jump_attack_0	24	1722	126	1811

jump_attack_1	143	1720	241	1804

jump_attack_2	268	1707	360	1814

jump_attack_3	381	1724	483	1815

jump_attack_4	528	1711	746	1809

jump_attack_5	835	1738	950	1828


walk_0	26	1959	105	2038

walk_1	126	1954	210	2038

walk_2	229	1951	309	2038

walk_3	327	1945	408	2038

walk_4	421	1945	523	2038

walk_5	534	1949	625	2038

walk_6	640	1943	723	2038

walk_7	740	1953	821	2038

walk_8	843	1949	913	2038

walk_9	936	1945	1032	2038

walk_10	1049	1943	1157	2038

walk_11	1172	1949	1280	2039

walk_12	1302	1948	1389	2041



climb_0	20	2178	78	2318

climb_1	101	2177	157	2321

climb_2	179	2197	235	2318

climb_3	254	2202	337	2303

climb_4	356	2180	418	2303

climb_5	442	2172	500	2311

climb_6	525	2186	581	2315

climb_7	602	2202	665	2305

climb_8	682	2202	765	2303

climb_9	778	2178	834	2310


swing_00	31	2332	111	2459

swing_01	204	2343	310	2460

swing_02	387	2341	489	2467

swing_03	527	2340	614	2470

swing_04	671	2333	742	2468

swing_05	811	2332	896	2467

swing_06	958	2337	1055	2462

swing_07	1101	2332	1213	2462

swing_08	1247	2329	1339	2460

swing_09	1402	2340	1470	2467


swing_free_0	20	2487	116	2630

swing_free_1	202	2495	295	2636

swing_free_2	427	2489	507	2631

swing_free_3	579	2485	657	2628

swing_free_4	726	2484	802	2627


swing_attack_0	6	2815	101	2956

swing_attack_1	162	2823	264	2967
swing_attack_2	369	2808	561	2974

swing_attack_3	706	2820	873	2970

swing_attack_4	987	2810	1131	2967

swing_attack_5	1227	2810	1379	2962

swing_attack_6	1510	2817	1604	2958


drop_down_0	18	2991	86	3110

drop_down_1	124	2996	174	3121

drop_down_2	191	2997	262	3113

drop_down_3	275	2997	370	3102

drop_down_4	390	2999	506	3087

drop_down_5	538	3001	654	3068

drop_down_6	678	2989	781	3078

drop_down_7	809	2993	902	3102

drop_down_8	924	2985	1013	3107


die_0	1	3573	157	3652

die_1	166	3569	285	3652

die_2	306	3557	395	3652

die_3	408	3557	496	3652

die_4	506	3569	583	3651

die_5	598	3567	677	3651

die_6	692	3567	761	3651

die_7	780	3567	852	3651

die_8	870	3570	948	3651

die_9	968	3562	1055	3653

die_10	1074	3564	1155	3651

die_11	1178	3570	1255	3652

die_12	1268	3570	1347	3654

die_13	1	3735	76	3819

die_14	93	3725	166	3819

die_15	185	3729	270	3819

die_16	283	3732	402	3819

die_17	427	3737	546	3820

die_18	567	3695	715	3829

die_19	734	3693	884	3831

die_20	913	3693	1059	3831

die_21	1087	3697	1220	3831

die_22	1254	3700	1383	3831

die_23	1408	3713	1537	3833

die_24	1556	3716	1685	3836

die_25	1704	3716	1833	3836

die_26	1861	3719	1990	3839

die_27	2013	3719	2141	3839


climb_jump_00	18	2991	86	3110

climb_jump_01	124	2996	174	3121

climb_jump_02	191	2997	262	3113

climb_jump_03	275	2997	370	3102

climb_jump_04	390	2999	506	3087

climb_jump_05	538	3001	654	3068

climb_jump_06	678	2989	781	3078

climb_jump_07	809	2993	902	3102

climb_jump_08	924	2985	1013	3107


climb_throw_00	31	2650	104	2791

climb_throw_01	214	2658	294	2799

climb_throw_02	404	2650	504	2793
climb_throw_03	575	2647	637	2791

climb_throw_04	717	2652	829	2796


climb_attack_00	6	2815	101	2956

climb_attack_01	162	2823	264	2967

climb_attack_02	369	2808	561	2974

climb_attack_03	706	2820	873	2970

climb_attack_04	987	2810	1131	2967
climb_attack_05	1227	2810	1379	2962

climb_attack_06	1510	2817	1604	2958


burn_0	16	3466	99	3542

burn_1	110	3457	218	3542

burn_2	233	3458	349	3540

burn_3	362	3460	518	3539

burn_4	540	3455	660	3539

burn_5	673	3457	788	3537



run_attack_00	47	6076	116	6160

run_attack_01	133	6063	233	6160

run_attack_02	250	6074	349	6160

run_attack_03	365	6063	460	6160

run_attack_04	490	6062	678	6160

run_attack_05	730	6077	871	6160


run_throw_00	42	6213	117	6304

run_throw_01	128	6213	225	6304

run_throw_02	255	6213	352	6304

run_throw_03	475	6209	582	6310

run_throw_04	644	6212	731	6310

run_throw_05	862	6219	941	6310
